BUTTERFLY,10,14:15:15,2024-12-04
BUTTERFLY,2,14:14:14,2024-12-04
BUTTERFLY,4,14:14:14,2024-12-04
BUTTERFLY,5,14:14:14,2024-12-04
BUTTERFLY,8,14:14:14,2024-12-04
BUTTERFLY,9,12:01:12,2024-12-04
BUTTERFLY,12,12:12:12,2024-12-04
CRAWL,10,14:14:14,2024-12-04
CRAWL,6,14:12:12,2024-12-04
CRAWL,8,14:14:14,2024-12-04
CRAWL,9,15:15:15,2024-12-04
CRAWL,14,16:16:16,2024-12-04
CRAWL,14,16:16:16,2024-12-04
CRAWL,10,12:12:12,2024-12-04
CRAWL,6,13:13:13,2024-12-04
CRAWL,8,14:14:14,2024-12-04
CRAWL,9,14:14:14,2024-12-04
CRAWL,14,12:12:12,2024-12-04
CRAWL,14,13:13:13,2024-12-04
